county,fl_site_limit,tiv_2012,fl_site_deductible,point_longitude,point_granularity
SUWANNEE COUNTY,0,345894.66,0,-82.92394,3
SUWANNEE COUNTY,0,138228.8,0,-82.92767,4
SUWANNEE COUNTY,0,177339.74,0,-82.927582,1
SUWANNEE COUNTY,0,95132.8,0,-82.922729,3
SUWANNEE COUNTY,0,145139.65,0,-82.922424,1
SUWANNEE COUNTY,0,114919.58,0,-82.933777,4
SUWANNEE COUNTY,0,183015.09,0,-82.933777,4
SUWANNEE COUNTY,0,88218.85,0,-82.933777,4
SUWANNEE COUNTY,0,85911,0,-82.923635,3
NASSAU COUNTY,0,168443.97,0,-81.93397,1
NASSAU COUNTY,338944.5,485816.61,0,-81.830429,1
NASSAU COUNTY,272349,414565.56,0,-81.830429,1
NASSAU COUNTY,129690,129635.53,0,-81.830193,1
NASSAU COUNTY,123210,120345.61,0,-81.830429,1
NASSAU COUNTY,0,3939.13,0,-81.82632,3
NASSAU COUNTY,0,3057739.39,0,-81.8249,4
NASSAU COUNTY,0,118401.07,0,-81.82632,3
NASSAU COUNTY,0,1487255.23,0,-81.82632,3
NASSAU COUNTY,0,11825.56,0,-81.82383,3
NASSAU COUNTY,0,13988.5,0,-81.826525,3
NASSAU COUNTY,0,230328.99,0,-81.826584,1
NASSAU COUNTY,0,63053.72,0,-81.83645,3
NASSAU COUNTY,0,488965.65,0,-81.81973,1
NASSAU COUNTY,0,955908.09,0,-81.77496,3
NASSAU COUNTY,0,1455184.42,0,-81.825684,1
COLUMBIA COUNTY,135450,164978.1,0,-82.66227,4
COLUMBIA COUNTY,60300,77678.46,0,-82.7094,1
COLUMBIA COUNTY,22500,19501.76,0,-82.7094,4
COLUMBIA COUNTY,0,33250.37,0,-82.7094,4
COLUMBIA COUNTY,0,626142.46,0,-82.73404,1
COLUMBIA COUNTY,0,37291.11,0,-82.7094,4
COLUMBIA COUNTY,0,49526.38,0,-82.57017,4
COLUMBIA COUNTY,42300,53762.62,0,-82.6126,3
COLUMBIA COUNTY,0,16798.29,0,-82.64,4
COLUMBIA COUNTY,0,176189.89,0,-82.64,4
COLUMBIA COUNTY,0,4424.48,0,-82.64,4
COLUMBIA COUNTY,0,4525.86,0,-82.64,4
COLUMBIA COUNTY,0,27375.62,0,-82.64,4
COLUMBIA COUNTY,0,24840.49,0,-82.640976,1
COLUMBIA COUNTY,0,889825.76,0,-82.640976,1
COLUMBIA COUNTY,0,438049.26,0,-82.640976,1
COLUMBIA COUNTY,0,1728721.59,0,-82.640976,1
COLUMBIA COUNTY,0,4782.1,0,-82.640976,1
COLUMBIA COUNTY,0,2708463.63,0,-82.6126,4
COLUMBIA COUNTY,0,1296439.3,0,-82.6126,4
COLUMBIA COUNTY,0,3181868.99,0,-82.6126,4
COLUMBIA COUNTY,0,255975.89,0,-82.6126,4
COLUMBIA COUNTY,0,1147247.71,0,-82.6126,4
COLUMBIA COUNTY,0,2837762.3,0,-82.6126,4
COLUMBIA COUNTY,0,696809.59,0,-82.6126,4
COLUMBIA COUNTY,0,1552594.58,0,-82.6126,4
COLUMBIA COUNTY,0,13521.83,0,-82.6126,4
COLUMBIA COUNTY,0,424087.24,0,-82.6126,4
COLUMBIA COUNTY,0,4238.41,0,-82.6126,4
COLUMBIA COUNTY,0,57802.5,0,-82.6126,4
COLUMBIA COUNTY,0,7279557.65,0,-82.6126,4
COLUMBIA COUNTY,0,34160.94,0,-82.6126,4
COLUMBIA COUNTY,0,234280.26,0,-82.614795,1
COLUMBIA COUNTY,0,58447.64,0,-82.614795,1
COLUMBIA COUNTY,0,1770235.43,0,-82.614795,1
COLUMBIA COUNTY,0,17228.6,0,-82.63503,1
COLUMBIA COUNTY,0,1840643.78,0,-82.65581,1
COLUMBIA COUNTY,0,6342697.9,450000,-82.59694,3
COLUMBIA COUNTY,0,86628.09,0,-82.66252,1
COLUMBIA COUNTY,0,125938.17,0,-82.66205,1
COLUMBIA COUNTY,0,64169.8,0,-82.662277,1
COLUMBIA COUNTY,0,80898.23,0,-82.66251,1
COLUMBIA COUNTY,0,91244.65,0,-82.66205,1
COLUMBIA COUNTY,0,92333.77,0,-82.66251,1
COLUMBIA COUNTY,0,98181.1,0,-82.66218,1
COLUMBIA COUNTY,0,66272.56,0,-82.66351,1
COLUMBIA COUNTY,0,99945.87,0,-82.66314,1
COLUMBIA COUNTY,0,139415.11,0,-82.66341,1
COLUMBIA COUNTY,0,106664.4,0,-82.66348,1
COLUMBIA COUNTY,0,115117.07,0,-82.66314,3
COLUMBIA COUNTY,0,216561.94,0,-82.66314,3
COLUMBIA COUNTY,0,70364.02,0,-82.66406,3
COLUMBIA COUNTY,0,345588.57,0,-82.67019,4
COLUMBIA COUNTY,0,558330.42,0,-82.671326,4
ST  JOHNS COUNTY,0,190329.82,0,-81.4271,4
ST  JOHNS COUNTY,0,1069841.98,0,-81.4271,4
ST  JOHNS COUNTY,0,9957.87,0,-81.4271,4
ST  JOHNS COUNTY,0,249984.64,0,-81.47171,1
ST  JOHNS COUNTY,0,19024.97,0,-81.47171,1
ST  JOHNS COUNTY,0,35207.53,0,-81.47171,1
ST  JOHNS COUNTY,0,16859.05,0,-81.47171,1
ST  JOHNS COUNTY,29061,40749.33,0,-81.466309,1
ST  JOHNS COUNTY,48087,68008.1,0,-81.466309,1
ST  JOHNS COUNTY,128628,133425.18,0,-81.466309,1
ST  JOHNS COUNTY,128628,168246.71,0,-81.466309,1
ST  JOHNS COUNTY,128628,176279.14,0,-81.466309,1
ST  JOHNS COUNTY,4968,5265.92,0,-81.466309,1
ST  JOHNS COUNTY,157005,131774.3,0,-81.466309,1
ST  JOHNS COUNTY,459,847.36,0,-81.466309,1
ST  JOHNS COUNTY,459,428.69,0,-81.466309,1
ST  JOHNS COUNTY,1062,1602.72,0,-81.466309,1
ST  JOHNS COUNTY,2304,2474.16,0,-81.466309,1
ST  JOHNS COUNTY,1476,1935.04,0,-81.466309,1
NASSAU COUNTY,185040,313975.87,0,-81.45291,1
NASSAU COUNTY,0,11961.62,0,-81.46114,3
NASSAU COUNTY,0,9646.79,0,-81.46114,3
NASSAU COUNTY,0,277743.75,0,-81.46052,1
NASSAU COUNTY,0,182860.76,0,-81.46052,1
NASSAU COUNTY,0,29936.79,0,-81.46052,1
NASSAU COUNTY,0,238338.59,0,-81.46016,1
NASSAU COUNTY,0,767347.85,0,-81.44708,1
NASSAU COUNTY,0,8073943.68,0,-81.45801,1
NASSAU COUNTY,0,636264.11,0,-81.454407,1
NASSAU COUNTY,0,88679.21,0,-81.4719,4
NASSAU COUNTY,0,841130.78,0,-81.453979,1
NASSAU COUNTY,0,412765.59,0,-81.453979,1
NASSAU COUNTY,0,464703.76,0,-81.4719,4
NASSAU COUNTY,0,9839.94,0,-81.453979,1
NASSAU COUNTY,0,73196.13,0,-81.46815,1
NASSAU COUNTY,0,735948.78,0,-81.453979,1
NASSAU COUNTY,0,10710000,0,-81.462097,1
NASSAU COUNTY,0,977226.92,0,-81.462,3
NASSAU COUNTY,0,115414.7,0,-81.546837,1
NASSAU COUNTY,0,72362.85,0,-81.546837,1
NASSAU COUNTY,0,658571.77,0,-81.45367,1
NASSAU COUNTY,0,2520816.55,0,-81.45105,1
NASSAU COUNTY,0,895926.17,0,-81.455553,1
NASSAU COUNTY,0,138827.52,0,-81.451576,3
NASSAU COUNTY,0,235301.93,0,-81.44959,1
NASSAU COUNTY,0,194814.85,0,-81.44959,1
NASSAU COUNTY,0,178465.15,0,-81.448578,1
NASSAU COUNTY,0,181216.05,0,-81.448212,1
NASSAU COUNTY,0,151151.13,0,-81.448433,1
NASSAU COUNTY,0,176389.97,0,-81.44959,1
NASSAU COUNTY,0,210005.55,0,-81.450188,1
NASSAU COUNTY,0,203450.71,0,-81.448067,1
NASSAU COUNTY,0,202538.58,0,-81.449326,1
NASSAU COUNTY,0,226675.88,0,-81.45134,1
NASSAU COUNTY,0,335395.98,0,-81.44838,1
NASSAU COUNTY,0,216909.11,0,-81.450577,1
NASSAU COUNTY,0,252344.61,0,-81.44959,1
NASSAU COUNTY,0,310058.81,0,-81.44959,1
NASSAU COUNTY,0,225030.91,0,-81.450279,1
NASSAU COUNTY,0,332681.94,0,-81.45015,1
NASSAU COUNTY,0,222125,0,-81.450661,1
NASSAU COUNTY,0,277280.37,0,-81.450615,1
NASSAU COUNTY,0,303833.37,0,-81.450089,1
NASSAU COUNTY,0,282225.02,0,-81.450531,1
NASSAU COUNTY,0,178583.88,0,-81.448822,1
NASSAU COUNTY,0,241166.46,0,-81.450874,1
NASSAU COUNTY,0,306551.23,0,-81.44959,1
NASSAU COUNTY,0,338372.33,0,-81.448174,1
NASSAU COUNTY,0,8757880.98,0,-81.451576,3
NASSAU COUNTY,0,11790000,0,-81.451309,1
NASSAU COUNTY,235696.5,353171.41,0,-81.45489,1
NASSAU COUNTY,18000,16830,0,-81.449318,1
NASSAU COUNTY,1772074.8,1768133.71,0,-81.44969,1
NASSAU COUNTY,95922,150073.42,0,-81.44969,1
NASSAU COUNTY,20763,20966.31,0,-81.44969,1
NASSAU COUNTY,0,20610000,0,-81.442482,1
NASSAU COUNTY,0,1020490.44,0,-81.539909,4
NASSAU COUNTY,0,2937.46,0,-81.539909,4
NASSAU COUNTY,0,190425.74,0,-81.539909,4
NASSAU COUNTY,0,19687.96,0,-81.455986,3
NASSAU COUNTY,0,110035.31,0,-81.546837,1
NASSAU COUNTY,0,123807.2,0,-81.546837,1
NASSAU COUNTY,0,838972.4,0,-81.45235,1
NASSAU COUNTY,0,227585.86,0,-81.463341,1
NASSAU COUNTY,0,23505.92,0,-81.46358,1
NASSAU COUNTY,0,78862,0,-81.461609,1
NASSAU COUNTY,0,288837.12,0,-81.457794,1
NASSAU COUNTY,0,9045.12,0,-81.453941,4
NASSAU COUNTY,0,98214.9,0,-81.454628,3
NASSAU COUNTY,0,36004.04,0,-81.465965,1
NASSAU COUNTY,0,2197471.6,0,-81.446259,1
NASSAU COUNTY,0,62305.99,0,-81.446259,1
NASSAU COUNTY,0,185883.43,0,-81.46572,3
NASSAU COUNTY,0,1825782.64,0,-81.464905,1
NASSAU COUNTY,0,1619364.87,0,-81.45117,1
NASSAU COUNTY,0,247758.41,0,-81.43205,3
NASSAU COUNTY,0,344336.66,0,-81.43702,4
NASSAU COUNTY,0,238214.12,0,-81.45235,1
NASSAU COUNTY,0,269983.03,0,-81.44564,1
NASSAU COUNTY,0,337216.14,0,-81.457794,1
NASSAU COUNTY,0,185310.32,0,-81.458395,3
NASSAU COUNTY,0,329505.66,0,-81.46358,1
NASSAU COUNTY,0,792672.06,0,-81.46492,1
NASSAU COUNTY,0,506745.07,0,-81.485847,1
COLUMBIA COUNTY,212850,340143.88,0,-82.7109,1
COLUMBIA COUNTY,135000,150719.13,0,-82.71114,1
COLUMBIA COUNTY,94284,100714.17,0,-82.63364,1
COLUMBIA COUNTY,6300,9566.42,0,-82.639236,1
COLUMBIA COUNTY,0,1417531.31,0,-82.7088,3
COLUMBIA COUNTY,0,136068.22,0,-82.70641,3
COLUMBIA COUNTY,0,434656.21,0,-82.71411,1
BAKER COUNTY,0,1346.55,0,-82.16215,3
BAKER COUNTY,0,4551.39,0,-82.160875,3
CLAY COUNTY,0,171582.99,0,-81.658165,1
CLAY COUNTY,945000,750524.67,0,-81.82975,1
CLAY COUNTY,76500,121368.78,0,-81.82975,1
CLAY COUNTY,76500,94517.28,0,-81.82975,1
CLAY COUNTY,0,640896.11,0,-81.70777,1
CLAY COUNTY,0,14137.95,0,-81.7238,4
CLAY COUNTY,0,25400.89,0,-81.7238,4
CLAY COUNTY,0,47059.67,0,-81.7238,4
CLAY COUNTY,0,28938.78,0,-81.7238,4
CLAY COUNTY,0,10216,0,-81.7238,4
CLAY COUNTY,0,16695.56,0,-81.7238,4
CLAY COUNTY,0,25890.52,0,-81.7238,4
CLAY COUNTY,0,11239.53,0,-81.7238,4
CLAY COUNTY,0,35155,0,-81.7238,4
CLAY COUNTY,0,16990.72,0,-81.7238,4
CLAY COUNTY,0,23431.62,0,-81.7238,4
CLAY COUNTY,0,7026.15,0,-81.7238,3
CLAY COUNTY,0,22117.33,0,-81.7238,4
CLAY COUNTY,0,250185.41,0,-81.7238,3
CLAY COUNTY,0,13200.19,0,-81.7238,3
CLAY COUNTY,0,36139.79,0,-81.7238,4
CLAY COUNTY,0,13926.22,0,-81.7238,3
CLAY COUNTY,0,14678.43,0,-81.7238,4
CLAY COUNTY,0,85159.98,0,-81.67742,3
CLAY COUNTY,0,99578.92,0,-81.67742,3
CLAY COUNTY,0,30033.98,0,-81.67742,3
CLAY COUNTY,0,22316.42,0,-81.67742,3
CLAY COUNTY,0,10540.08,0,-81.7238,4
CLAY COUNTY,0,94857.02,0,-81.689049,1
CLAY COUNTY,0,18479.62,0,-81.683899,3
CLAY COUNTY,0,16161.17,0,-81.7238,4
CLAY COUNTY,0,12391.68,0,-81.7238,4
CLAY COUNTY,0,13533.17,0,-81.7238,4
CLAY COUNTY,0,11058.82,0,-81.7238,4
CLAY COUNTY,0,6304.92,0,-81.7238,4
CLAY COUNTY,0,18039.84,0,-81.7238,4
CLAY COUNTY,0,8588.09,0,-81.7238,3
CLAY COUNTY,0,5824.75,0,-81.70065,3
CLAY COUNTY,0,9970.77,0,-81.7238,4
CLAY COUNTY,0,10813.94,0,-81.683762,3
CLAY COUNTY,0,321265.52,0,-81.684,3
CLAY COUNTY,0,86664.06,0,-81.7238,4
CLAY COUNTY,0,15298.37,0,-81.7238,4
CLAY COUNTY,0,4916.61,0,-81.7238,4
CLAY COUNTY,0,4227.37,0,-81.7238,4
CLAY COUNTY,0,7864.77,0,-81.71087,4
CLAY COUNTY,0,27063.92,0,-81.7238,4
CLAY COUNTY,0,614169.6,0,-81.698914,1
CLAY COUNTY,0,85602.93,0,-81.698914,1
CLAY COUNTY,0,94516.04,0,-81.698914,1
CLAY COUNTY,0,41626.05,0,-81.698914,1
CLAY COUNTY,0,69354.23,0,-81.698914,1
CLAY COUNTY,0,184597.7,0,-81.698914,1
CLAY COUNTY,0,17192.67,0,-81.698914,1
CLAY COUNTY,0,22060.5,0,-81.71524,3
CLAY COUNTY,0,27269.28,0,-81.7238,3
CLAY COUNTY,0,130879.31,0,-81.684074,3
CLAY COUNTY,0,39041.19,0,-81.69477,3
CLAY COUNTY,0,63272.13,0,-81.698545,3
CLAY COUNTY,0,420116.77,0,-81.676795,3
CLAY COUNTY,0,18320.32,0,-81.7238,4
CLAY COUNTY,0,28403.71,0,-81.699965,3
CLAY COUNTY,0,38878,0,-81.65459,3
CLAY COUNTY,0,24486.1,0,-81.687235,3
CLAY COUNTY,0,127544.55,0,-81.687235,3
CLAY COUNTY,0,97127.17,0,-81.687235,3
CLAY COUNTY,0,31074.07,0,-81.700315,3
CLAY COUNTY,0,36234.34,0,-81.684,3
CLAY COUNTY,0,114400.37,0,-81.81295,3
CLAY COUNTY,0,184477.66,0,-81.81295,3
CLAY COUNTY,0,1049829.83,0,-81.69136,1
CLAY COUNTY,0,803088.17,0,-81.708595,1
CLAY COUNTY,0,1174149.07,0,-81.661644,3
CLAY COUNTY,0,926230.42,0,-81.695091,1
CLAY COUNTY,0,3345521.13,0,-81.69609,1
CLAY COUNTY,0,6739694.81,0,-81.68111,1
CLAY COUNTY,162366.3,168942.46,0,-81.70697,1
CLAY COUNTY,0,981993.57,0,-81.675621,3
CLAY COUNTY,0,192335.37,0,-81.736023,1
CLAY COUNTY,0,14335.1,0,-81.730293,1
CLAY COUNTY,0,24001.58,0,-81.670074,1
CLAY COUNTY,0,622958.63,0,-81.755379,1
CLAY COUNTY,0,160656.16,0,-81.755379,1
CLAY COUNTY,0,885491.72,0,-81.68175,1
CLAY COUNTY,0,124562.37,0,-81.679455,3
CLAY COUNTY,0,34616.01,0,-81.742455,3
CLAY COUNTY,0,266906.9,0,-81.742455,3
CLAY COUNTY,0,472322.4,0,-81.742455,3
CLAY COUNTY,0,19860.19,0,-81.742455,3
CLAY COUNTY,0,71551.34,0,-81.755379,1
CLAY COUNTY,0,3496699.52,0,-81.755379,1
CLAY COUNTY,0,69182.52,0,-81.755379,1
CLAY COUNTY,0,24191.61,0,-81.755379,1
CLAY COUNTY,0,52870.8,0,-81.755379,1
CLAY COUNTY,0,60419.64,0,-81.755379,1
CLAY COUNTY,0,20025.98,0,-81.755379,1
CLAY COUNTY,0,2274163.21,0,-81.67947,1
CLAY COUNTY,0,205713.96,0,-81.714539,1
CLAY COUNTY,0,347967.51,0,-81.714539,1
CLAY COUNTY,0,187374.87,0,-81.714836,1
CLAY COUNTY,0,39703.53,0,-81.7238,4
CLAY COUNTY,0,54682.3,0,-81.69407,3
CLAY COUNTY,0,47324.63,0,-81.795082,1
CLAY COUNTY,0,21284.3,0,-81.795082,1
CLAY COUNTY,0,67485.56,0,-81.795082,1
CLAY COUNTY,0,788694.76,0,-81.7238,4
CLAY COUNTY,0,110143.27,0,-81.7238,1
CLAY COUNTY,0,50970.62,0,-81.68678,1
CLAY COUNTY,0,45290.08,0,-81.724515,3
CLAY COUNTY,0,80342.73,0,-81.68678,1
BRADFORD COUNTY,0,347251.89,0,-82.202431,1
BRADFORD COUNTY,0,105384.87,0,-82.135475,3
BRADFORD COUNTY,0,148194.97,0,-82.135536,1
NASSAU COUNTY,0,291171.43,0,-81.9198,1
NASSAU COUNTY,0,1010881.77,0,-81.9576,4
NASSAU COUNTY,0,2062651.31,0,-81.908635,4
NASSAU COUNTY,0,114569.52,0,-81.919342,3
NASSAU COUNTY,0,142594.69,0,-81.919342,3
NASSAU COUNTY,0,22931.74,0,-81.919342,3
NASSAU COUNTY,0,30813.03,0,-81.923798,1
NASSAU COUNTY,0,590955.85,0,-81.923798,1
NASSAU COUNTY,0,44390.39,0,-81.928619,3
NASSAU COUNTY,0,5610030.32,0,-81.917923,1
NASSAU COUNTY,0,195355.54,0,-81.923798,1
NASSAU COUNTY,0,73202.3,0,-82.010965,3
NASSAU COUNTY,0,1124171.17,0,-81.90805,1
HAMILTON COUNTY,0,7055.16,0,-82.95187,3
HAMILTON COUNTY,0,42302.97,0,-82.95187,3
HAMILTON COUNTY,0,10246.42,0,-82.95187,3
HAMILTON COUNTY,0,35000.32,0,-82.95285,1
HAMILTON COUNTY,0,18829.64,0,-82.95285,1
HAMILTON COUNTY,0,3579.34,0,-82.9527,4
HAMILTON COUNTY,0,28007.93,0,-83.006185,3
HAMILTON COUNTY,0,70626.63,0,-82.95845,1
HAMILTON COUNTY,0,63476.71,0,-82.95845,1
HAMILTON COUNTY,0,368477.97,0,-82.950535,4
HAMILTON COUNTY,0,12857.71,0,-82.94598,1
HAMILTON COUNTY,0,419574.22,0,-82.954086,1
HAMILTON COUNTY,0,1133298.89,0,-82.9527,4
HAMILTON COUNTY,0,17111.87,0,-82.955515,4
HAMILTON COUNTY,0,66233.75,0,-82.9527,3
HAMILTON COUNTY,0,4613.35,0,-82.9527,4
HAMILTON COUNTY,0,116617.63,0,-82.948914,1
HAMILTON COUNTY,0,26153.37,0,-82.9527,3
HAMILTON COUNTY,0,38632.56,0,-82.960715,3
HAMILTON COUNTY,0,252790.47,0,-82.9527,3
HAMILTON COUNTY,0,54449.07,0,-82.9527,3
HAMILTON COUNTY,0,53139.05,0,-82.9527,3
HAMILTON COUNTY,0,156395.86,0,-83.1456,4
HAMILTON COUNTY,0,32189.87,0,-83.236685,3
HAMILTON COUNTY,0,158091.16,0,-83.09455,1
HAMILTON COUNTY,0,147384.67,0,-83.1456,1
HAMILTON COUNTY,0,19110.92,0,-83.1456,4
HAMILTON COUNTY,0,33937.58,0,-83.1456,3
HAMILTON COUNTY,0,242525.33,0,-83.09906,1
UNION COUNTY,407520,652935.06,0,-82.3414,3
UNION COUNTY,137160,235651.85,0,-82.3414,3
UNION COUNTY,123300,117740.65,0,-82.33126,1
UNION COUNTY,0,66198.38,0,-82.409576,3
UNION COUNTY,0,272492.62,0,-82.338158,3
UNION COUNTY,0,1344182.96,0,-82.344803,1
COLUMBIA COUNTY,585000,516026.16,0,-82.63482,1
COLUMBIA COUNTY,82620,67513.1,0,-82.6422,4
COLUMBIA COUNTY,0,66963.34,0,-82.62603,1
COLUMBIA COUNTY,0,15583.05,0,-82.631552,1
COLUMBIA COUNTY,0,1488037.86,0,-82.67663,1
COLUMBIA COUNTY,0,381198.18,0,-82.629161,3
COLUMBIA COUNTY,0,107281.96,0,-82.6422,4
COLUMBIA COUNTY,0,123495.13,0,-82.64519,1
COLUMBIA COUNTY,702820.8,800541,0,-82.68749,4
COLUMBIA COUNTY,0,120600000,0,-82.638557,3
COLUMBIA COUNTY,0,51746.63,0,-82.662956,1
COLUMBIA COUNTY,0,95471.01,0,-82.63428,1
COLUMBIA COUNTY,0,123969.01,0,-82.63389,1
COLUMBIA COUNTY,0,149616.24,0,-82.662567,4
COLUMBIA COUNTY,0,4765537.43,0,-82.638016,1
COLUMBIA COUNTY,0,275087.39,0,-82.60341,1
COLUMBIA COUNTY,0,1031325.54,0,-82.661995,1
COLUMBIA COUNTY,0,51938.8,0,-82.645874,1
COLUMBIA COUNTY,0,128945.84,0,-82.645874,1
COLUMBIA COUNTY,0,31749.41,0,-82.645874,1
COLUMBIA COUNTY,0,159306.22,0,-82.70283,3
COLUMBIA COUNTY,0,12760.09,0,-82.70283,3
COLUMBIA COUNTY,0,31753.49,0,-82.70283,3
COLUMBIA COUNTY,0,87129.43,0,-82.69878,3
COLUMBIA COUNTY,0,370039.71,0,-82.695274,3
COLUMBIA COUNTY,0,131220.21,0,-82.6422,4
COLUMBIA COUNTY,0,222258.75,0,-82.708005,1
COLUMBIA COUNTY,0,178903.34,0,-82.6422,4
COLUMBIA COUNTY,0,189045.7,0,-82.635643,1
COLUMBIA COUNTY,0,489018.88,0,-82.635643,1
COLUMBIA COUNTY,0,2670204.04,0,-82.635643,1
COLUMBIA COUNTY,0,123617.33,0,-82.6063,4
COLUMBIA COUNTY,0,22455.91,0,-82.63753,4
COLUMBIA COUNTY,0,21121.61,0,-82.6585,4
COLUMBIA COUNTY,0,26327.41,0,-82.63814,3
COLUMBIA COUNTY,0,433692.83,0,-82.68968,4
COLUMBIA COUNTY,0,255938.56,0,-82.63638,3
COLUMBIA COUNTY,0,12877.19,0,-82.7174,3
COLUMBIA COUNTY,0,20170.81,0,-82.636545,4
COLUMBIA COUNTY,0,24969.08,0,-82.66905,3
COLUMBIA COUNTY,0,27389.44,0,-82.6921,4
COLUMBIA COUNTY,0,23608.18,0,-82.6063,4
COLUMBIA COUNTY,0,14548.41,0,-82.66527,3
COLUMBIA COUNTY,0,433818.5,0,-82.6063,4
COLUMBIA COUNTY,0,96002.7,0,-82.6063,4
COLUMBIA COUNTY,0,80292.62,0,-82.61728,3
COLUMBIA COUNTY,0,36460.53,0,-82.6063,4
COLUMBIA COUNTY,0,30475.72,0,-82.6063,4
COLUMBIA COUNTY,0,60957.06,0,-82.6063,4
COLUMBIA COUNTY,0,7797.29,0,-82.62323,4
COLUMBIA COUNTY,0,12297.35,0,-82.636865,4
COLUMBIA COUNTY,0,42941.54,0,-82.6063,4
COLUMBIA COUNTY,0,63408.66,0,-82.6063,4
COLUMBIA COUNTY,0,213321.55,0,-82.6063,4
COLUMBIA COUNTY,0,47665.19,0,-82.6063,4
COLUMBIA COUNTY,0,37227.66,0,-82.6063,4
COLUMBIA COUNTY,0,126691.92,0,-82.6063,4
COLUMBIA COUNTY,0,16711.17,0,-82.588203,4
COLUMBIA COUNTY,0,17567.13,0,-82.6063,4
COLUMBIA COUNTY,0,40211.36,0,-82.6063,4
COLUMBIA COUNTY,0,50210.47,0,-82.6063,4
COLUMBIA COUNTY,0,38484.4,0,-82.6063,4
COLUMBIA COUNTY,0,16277.72,0,-82.64361,4
BRADFORD COUNTY,2070,1875.38,0,-82.075211,1
BRADFORD COUNTY,0,44399.5,0,-82.073212,1
MADISON COUNTY,321053.4,518064.61,0,-83.30024,1
MADISON COUNTY,132651,220996.57,0,-83.30043,1
MADISON COUNTY,23400,18558.54,0,-83.298165,3
MADISON COUNTY,0,9630000,0,-83.2753,4
MADISON COUNTY,0,790445.52,0,-83.2753,4
MADISON COUNTY,0,1186037.01,0,-83.306053,1
SUWANNEE COUNTY,493833.6,694889.06,0,-82.853531,3
SUWANNEE COUNTY,0,269112.26,0,-83.173874,1
SUWANNEE COUNTY,0,264045.11,0,-82.96032,3
SUWANNEE COUNTY,0,847083.59,0,-82.873199,3
SUWANNEE COUNTY,0,14922.01,0,-83.0554,4
SUWANNEE COUNTY,0,6481.05,0,-83.012032,3
SUWANNEE COUNTY,0,644961.83,0,-83.012032,3
SUWANNEE COUNTY,0,153444.94,0,-82.864685,3
SUWANNEE COUNTY,0,18409.67,0,-83.0554,4
